dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1627776000,2021-08-01 00:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,28.03,,18.44,29.06,26.22,29.41,1009,,,56,0.45,188,0.89,,,,,10,800,Clear,sky is clear,01n
1627779600,2021-08-01 01:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,26.96,,18.27,27.96,24.25,28.3,1009,,,59,1.79,13,2.24,,,,,3,800,Clear,sky is clear,01n
1627783200,2021-08-01 02:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,26.72,,18.84,27.86,24.67,28.23,1009,,,62,1.79,29,1.79,,,,,0,800,Clear,sky is clear,01n
1627786800,2021-08-01 03:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,26.13,,18.28,26.13,23.56,27.75,1010,,,62,2.24,7,2.24,,,,,1,800,Clear,sky is clear,01n
1627790400,2021-08-01 04:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,25.92,10000,17.83,26.16,22.64,28.25,1010,,,61,1.34,185,1.79,,,,,0,800,Clear,sky is clear,01d
1627794000,2021-08-01 05:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,28.02,10000,18.99,29.26,25.64,31.08,1011,,,58,0.45,90,1.34,,,,,0,800,Clear,sky is clear,01d
1627797600,2021-08-01 06:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,29.83,10000,20.11,31.78,27.64,33.8,1012,,,56,0.45,248,1.34,,,,,0,800,Clear,sky is clear,01d
1627801200,2021-08-01 07:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,32.02,10000,20.93,34.89,28.64,35.46,1012,,,52,0.45,158,0.89,,,,,0,800,Clear,sky is clear,01d
1627804800,2021-08-01 08:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,33.86,10000,19.15,35.71,30.64,37.14,1012,,,42,3.13,164,3.58,,,,,0,800,Clear,sky is clear,01d
1627808400,2021-08-01 09:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,35.8,,19.69,38.41,33.3,38.25,1011,,,39,1.34,234,2.68,,,,,0,800,Clear,sky is clear,01d
1627812000,2021-08-01 10:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,36.08,10000,19.52,38.62,31.64,40.53,1011,,,38,2.68,256,2.68,,,,,0,800,Clear,sky is clear,01d
1627815600,2021-08-01 11:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,35.94,10000,20.62,39.38,32.43,39.91,1011,,,41,2.24,165,2.68,,,,,0,800,Clear,sky is clear,01d
1627819200,2021-08-01 12:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,36.37,10000,19.77,39.18,32.43,40.11,1010,,,38,2.68,212,3.58,,,,,20,801,Clouds,few clouds,02d
1627822800,2021-08-01 13:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,36.99,10000,19.89,40.04,32.19,41.58,1010,,,37,4.02,200,4.92,,,,,20,801,Clouds,few clouds,02d
1627826400,2021-08-01 14:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,37.26,10000,21.39,41.77,33.54,39.7,1009,,,40,3.58,191,3.58,,,,,20,801,Clouds,few clouds,02d
1627830000,2021-08-01 15:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,35.96,10000,22.16,40.92,32.98,39.14,1009,,,45,1.34,225,3.13,,,,,0,800,Clear,sky is clear,01d
1627833600,2021-08-01 16:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,34.8,10000,20.74,38.08,33.54,37.48,1009,,,44,1.34,225,3.58,,,,,0,800,Clear,sky is clear,01d
1627837200,2021-08-01 17:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,33.64,10000,19.33,35.58,32.43,34.89,1009,,,43,4.02,233,4.92,,,,,0,800,Clear,sky is clear,01d
1627840800,2021-08-01 18:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,31.75,10000,20.05,33.91,28.14,33.78,1010,,,50,3.13,196,4.02,,,,,0,800,Clear,sky is clear,01n
1627844400,2021-08-01 19:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,30.47,10000,20.11,32.5,27.59,32.12,1010,,,54,3.13,190,3.58,,,,,0,800,Clear,sky is clear,01n
1627848000,2021-08-01 20:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,30.02,10000,19.7,31.74,27.03,31.64,1010,,,54,2.24,88,2.24,,,,,0,800,Clear,sky is clear,01n
1627851600,2021-08-01 21:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,29.61,10000,19.32,31.09,27.33,30.53,1010,,,54,0.89,233,1.34,,,,,0,800,Clear,sky is clear,01n
1627855200,2021-08-01 22:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,29.03,10000,18.48,30.08,26.64,29.97,1010,,,53,1.79,346,2.24,,,,,0,800,Clear,sky is clear,01n
1627858800,2021-08-01 23:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,28.52,10000,19.18,29.86,25.23,30.47,1010,,,57,1.34,303,1.34,,,,,0,800,Clear,sky is clear,01n
1627862400,2021-08-02 00:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,27.95,10000,19.2,29.27,25.23,29.91,1010,,,59,0.89,348,1.34,,,,,0,800,Clear,sky is clear,01n
1627866000,2021-08-02 01:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,27.36,10000,19.18,28.64,24.25,29.36,1010,,,61,0.89,8,0.89,,,,,0,800,Clear,sky is clear,01n
1627869600,2021-08-02 02:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,26.94,10000,18.78,28.08,23.64,28.8,1010,,,61,0.45,356,0.89,,,,,0,800,Clear,sky is clear,01n
1627873200,2021-08-02 03:00:00 +0000 UTC,10800,Thessaloniki,40.640063,22.944419,26.67,,18.53,27.74,23.56,27.84,1010,,,61,0.89,356,0.89,,,,,0,800,Clear,sky is clear,01n
